fips,2019_units,2020_Units ,Yr_Grwth,Percent_Growth
1001,144,225,81,0.5625
1003,5113,7699,2586,0.505769607
1015,985,1225,240,0.243654822
1019,57,96,39,0.684210526
1033,501,582,81,0.161676647
1043,486,734,248,0.510288066
1045,864,1042,178,0.206018519
1055,538,395,-143,-0.265799257
1069,1032,2071,1039,1.006782946
1073,20929,24935,4006,0.19140905
1077,1323,1927,604,0.456538171
1081,6201,8353,2152,0.3470408
1083,1577,1865,288,0.182625238
1089,15254,21166,5912,0.387570473
1095,495,711,216,0.436363636
1097,2257,4052,1795,0.7953035
1101,3835,4501,666,0.173663625
1103,1083,2196,1113,1.027700831
1109,139,246,107,0.769784173
1113,248,245,-3,-0.012096774
1115,944,1019,75,0.079449153
1117,4982,6422,1440,0.289040546
1125,3969,4483,514,0.129503653
4001,273,340,67,0.245421245
4003,9772,12679,2907,0.297482603
4005,24081,28724,4643,0.192807608
4007,4463,5157,694,0.155500784
4009,121,1193,1072,8.859504132
4012,1094,1342,248,0.226691042
4013,357323,448733,91410,0.255818965
4015,13075,17171,4096,0.313269598
4017,6210.08,7846,1635.92,0.263429779
4019,132116,159402,27286,0.206530625
4021,8462,11015,2553,0.301701725
4023,720,1678,958,1.330555556
4025,45073,50564,5491,0.121824596
4027,7954,9344,1390,0.17475484
5005,828,843,15,0.018115942
5007,7469,8221,752,0.100682822
5019,81,,-81,-1
5027,15,,-15,-1
5031,1434,2052,618,0.430962343
5035,143,287,144,1.006993007
5045,2230,2730,500,0.224215247
5051,1943,2334,391,0.201235203
5057,-32,,32,-1
5069,-153,,153,-1
5081,-39,,39,-1
5087,146,228,82,0.561643836
5091,363,355,-8,-0.022038567
5103,-17,,17,-1
5115,14,288,274,19.57142857
5119,16194,17182,988,0.061010251
5125,1998,1951,-47,-0.023523524
5131,422,509,87,0.206161137
5139,-27,,27,-1
5143,8684,9708,1024,0.11791801
6001,554354,730871,176517,0.318419277
6005,23423,28046,4623,0.197370106
6007,53418,59866,6448,0.120708375
6009,14152,18237,4085,0.288651781
6013,427065,574426,147361,0.345055202
6015,2940,4043,1103,0.375170068
6017,95653,104938,9285,0.097069616
6019,83999,101919,17920,0.213335873
6021,448,,-448,-1
6023,45946,59739,13793,0.300200235
6025,1121,2421,1300,1.159678858
6027,5947,6569,622,0.10459055
6029,38402,43378,4976,0.129576585
6031,6043,7827,1784,0.295217607
6033,12873,16108,3235,0.251301173
6035,2900,3839,939,0.323793103
6037,1252704,1571393,318689,0.25440088
6039,13262,14290,1028,0.077514704
6041,256375,320975,64600,0.251974647
6045,37377,41809,4432,0.118575595
6047,15820,19752,3932,0.248546144
6049,823,1055,232,0.281895504
6051,11336,10211,-1125,-0.099241355
6053,94899,110445,15546,0.163816268
6055,88735,101988,13253,0.149354821
6057,86180,99763,13583,0.157611975
6059,419500,528880,109380,0.260738975
6061,166361,191898,25537,0.153503525
6063,6926,9597,2671,0.385648282
6065,203872,253500,49628,0.243427248
6067,324044,375091,51047,0.157531076
6069,11213,14151,2938,0.262017301
6071,92026,123974,31948,0.347162758
6073,468050,598468,130418,0.278641171
6075,313161,364586,51425,0.164212657
